Country,Happiness,Homosexuals,Immigrants,Race,Religion,Language
Ghana,4.119999886,,,,,
Ukraine,4.096000195,46.2,23.4,23.4,22.5,25.9
Uganda,4.080999851,,,,,
Burkina Faso,4.032000065,,,,,
Niger,4.027999878,,,,,
Malawi,3.970000029,,,,,
Chad,3.936000109,,,,,
Zimbabwe,3.875,89.1,4.9,5.2,5.3,5.6
Lesotho,3.808000088,,,,,
Angola,3.795000076,,,,,
Afghanistan,3.79399991,,,,,
Botswana,3.766000032,,,,,
Benin,3.657000065,,,,,
Madagascar,3.644000053,,,,,
Haiti,3.602999926,,,,,
Yemen,3.592999935,,,,,
South Sudan,3.59100008,,,,,
Liberia,3.532999992,,,,,
Guinea,3.506999969,,,,,
Togo,3.494999886,,,,,
Rwanda,3.470999956,,,,,
Syria,3.461999893,,,,,
Tanzania,3.348999977,,,,,
Burundi,2.904999971,,,,,
Central African Republic,2.693000078,,,,,
